Material,Descripción,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,"Mar del Plata, EL GAUCHITO",MAXI CARREFOUR,MAXICONSUMO,NINI,PLAZA VEA,VITAL,YAGUAR,Total general,Descripcion_Norm,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Ahorro_Pct,Ahorro_Abs
185853,Miel LIEBIG flores de abeja x500gr,,"6799,0",,,,"5531,51",,,,,,,,,,"5565,0",,"5965,170000000001",MIEL LIEBIG FLORES DE ABEJA X500GR,"5531,51","5565,0","5548,255",2,DIARCO,"0,30180660405839116","16,74499999999989"
185854,Barrita choco. COFLER chocolinas x40gr,,,,"1793,0",,,,,,,,,,"1172,96",,"1049,0",,"1338,32",BARRITA CHOCO. COFLER CHOCOLINAS X40GR,"1049,0","1793,0","1338,32",3,VITAL,"21,618148126008723","289,31999999999994"
185855,Mani con chocolate COFLER block x40gr,,,,,,,,,,,,,,,,"1199,0","1645,0","1422,0",MANI CON CHOCOLATE COFLER BLOCK X40GR,"1199,0","1645,0","1422,0",2,VITAL,"15,682137834036569","223,0"
185856,AIRE ACOND Philco split f/c black 2560w,,,,,,,,,,,,,,,,"750000,0",,"750000,0",AIRE ACOND PHILCO SPLIT F/C BLACK 2560W,"750000,0","750000,0","750000,0",1,VITAL,"0,0","0,0"
185857,Oblea choco. COFLER chocolinas xl x45gr,,,,,,,,,,,,,,,,"1099,0",,"1099,0",OBLEA CHOCO. COFLER CHOCOLINAS XL X45GR,"1099,0","1099,0","1099,0",1,VITAL,"0,0","0,0"
185858,Chocolate COFLER aireado tofi x70g,,,,,,,,,,,,,,,,"2649,0",,"2649,0",CHOCOLATE COFLER AIREADO TOFI X70G,"2649,0","2649,0","2649,0",1,VITAL,"0,0","0,0"
185859,Chocolate COFLER aireado bon o bon x67g,,,,"4634,0",,,,"4700,0",,,,,,"2909,92",,"2759,0",,"3750,73",CHOCOLATE COFLER AIREADO BON O BON X67G,"2759,0","4634,0","3434,306666666667",3,VITAL,"19,66355169214165","675,3066666666668"
185860,Chocolate COFLER aireado leche x100g,,"7399,0",,"8076,0",,,,"7800,0",,,,,,,,"4599,0",,"6968,5",CHOCOLATE COFLER AIREADO LECHE X100G,"4599,0","8076,0","6337,5",2,VITAL,"27,43195266272189","1738,5"
185862,Chocolate COFLER aireado almendras x100g,"7399,0","7399,0",,"8076,0",,,,"7800,0",,,,,,,,"4835,0",,"7101,8",CHOCOLATE COFLER AIREADO ALMENDRAS X100G,"4835,0","8076,0","6770,0",3,VITAL,"28,581979320531758","1935,0"
185863,Chocolate COFLER aireado mixto x100g,"7329,0",,,"8076,0",,,,"7800,0",,,,,,,,"5899,0",,"7276,0",CHOCOLATE COFLER AIREADO MIXTO X100G,"5899,0","8076,0","7101,333333333333",3,VITAL,"16,93109275253473","1202,333333333333"
