Material,Descripcion_Norm,Rubro,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,MAXI CARREFOUR,MAXICONSUMO,"Mar del Plata, EL GAUCHITO",NINI,PLAZA VEA,VITAL,YAGUAR,Unidad_Metrica,Marca_Sugerida,Nombre_Unificado,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Tipo_Ganador,Ahorro_Pct,Ahorro_Abs,Es_Bomba
181921,MADALENA VALENTE CON CHIPS X180GR,BUDINES Y MAGDALENAS,"2879,0","2879,0",,,,"2520,01",,"3050,0",,,"2447,0",,,,"2900,0","2199,0","2199,0",180GR,MADALENA,MADALENA VALENTE CON CHIPS X180GR,"2199,0","3050,0","2634,1262500000003",8,"VITAL, YAGUAR",LISTA,"16,518807707109715","435,12625000000025",False
181924,VAINILLA VALENTE X148GR,GALLETITAS,"2219,0",,,,,,,,,,"1429,0",,,,,"1615,0","1699,0",148GR,VAINILLA,VAINILLA VALENTE X148GR,"1429,0","2219,0","1740,5",4,MAXI CARREFOUR,LISTA,"17,897155989658145","311,5",False
181925,VAINILLA VALENTE X444GR,GALLETITAS,"5979,0","5979,0",,,,,,,,,"5082,0",,,,,"4729,0","4499,0",444GR,VAINILLA,VAINILLA VALENTE X444GR,"4499,0","5979,0","5253,6",5,YAGUAR,LISTA,"14,363484087102183","754,6000000000004",False
181926,VAINILLAS BIMBO X148GR,GALLETITAS,"2469,0","2469,0",,,,,,"2600,0",,,"2099,0",,,,"2550,0","1949,0","1899,0",148GR,VAINILLAS,VAINILLAS BIMBO X148GR,"1899,0","2600,0","2290,714285714286",7,YAGUAR,LISTA,"17,100093545369507","391,7142857142858",False
181927,VAINILLAS BIMBO X444GR,GALLETITAS,"6659,0","6659,0",,,,,,"7000,0",,,"5660,0",,,,"6850,0","5265,0","5199,0",444GR,VAINILLAS,VAINILLAS BIMBO X444GR,"5199,0","7000,0","6184,571428571428",7,YAGUAR,LISTA,"15,935969694169822","985,5714285714284",False
181928,TE VERDE TARAGUI X20SQ,TE,"1589,0","1819,0",,"1668,0",,,,"1700,0",,,,,,"1603,84","1650,0","1749,0",,S/U,TE,TE VERDE TARAGUI X20SQ,"1589,0","1819,0","1682,6914285714286",7,CARREFOUR,LISTA,"5,567950664072184","93,69142857142856",False
181929,TE TARAGUI PLACERES FRUTAS ROJAS X20SQ,TE,"2075,0","2269,0",,"2179,0",,"1984,04",,"2200,0",,,"1764,0","2199,89",,"1947,85","2150,0","1669,0",,S/U,TE,TE TARAGUI PLACERES FRUTAS ROJAS X20SQ,"1669,0","2269,0","2043,7779999999998",10,VITAL,LISTA,"18,337510238391832","374,7779999999998",False
181930,TE TARAGUI PLACERES MANZANA/CANELA X20SQ,TE,"2269,0","2269,0",,"2179,0",,"1984,04",,,,,,,,"1947,85",,"1779,0",,S/U,TE,TE TARAGUI PLACERES MANZANA/CANELA X20SQ,"1779,0","2269,0","2071,315",6,VITAL,LISTA,"14,11253237677514","292,31500000000005",False
181931,TE TARAGUI PLACERES LIM MIEL/JENGIB X20U,TE,"2100,0","2269,0",,"2270,0",,"1984,04",,,,,,,,"1947,85",,"1785,0",,20U,TE,TE TARAGUI PLACERES LIM MIEL/JENGIB,"1785,0","2270,0","2059,315",6,VITAL,LISTA,"13,320691589193496","274,31500000000005",False
181932,TE TARAGUI PLACERES AVELLANAS X20SQ,TE,"2205,0","2269,0",,"2205,0",,"1984,04",,,,,,,,"1947,85",,"1945,0",,S/U,TE,TE TARAGUI PLACERES AVELLANAS X20SQ,"1945,0","2269,0","2092,648333333333",6,VITAL,LISTA,"7,05557312145932","147,64833333333308",False
181933,LAVAVAJILLA SUN SAL REGENERADORA X1KG,LAVAVAJILLA,"8895,0",,,"8893,99",,,,"9350,0",,,,,,,,"7269,0",,1000GR,LAVAVAJILLA,LAVAVAJILLA SUN SAL REGENERADORA X1KG,"7269,0","9350,0","8601,9975",4,VITAL,LISTA,"15,496371627636481","1332,9974999999995",False
181934,CANASTA SOLIDA VIM 3EN1 PINO X35G,LIMPIEZA INOD. PAST.,,,,,,,,,,,,,,,,"1205,0",,35GR,CANASTA,CANASTA SOLIDA VIM 3EN1 PINO X35G,"1205,0","1205,0","1205,0",1,VITAL,LISTA,"0,0","0,0",False
181935,REPELENTE LIVOPEN EXT PROTEC AERO X132G,REPELENTES AERO.,,,,,,,,,,,,,,,,"1255,0",,132GR,REPELENTE,REPELENTE LIVOPEN EXT PROTEC AERO X132G,"1255,0","1255,0","1255,0",1,VITAL,LISTA,"0,0","0,0",False
181936,REPELENTE LIVOPEN SPORTS AEROSOL X165ML,REPELENTES AERO.,,,,,,,,,,,,,,,,"1099,0",,165ML,REPELENTE,REPELENTE LIVOPEN SPORTS AEROSOL X165ML,"1099,0","1099,0","1099,0",1,VITAL,LISTA,"0,0","0,0",False
181937,JABON LIQ A/BACT REXONA ALOE D/P X220ML,JABONES,"3269,0","3439,0",,"3269,0",,"2958,03",,"3550,0",,,"2779,0",,,"2878,09",,"2779,0",,220ML,JABON,JABON LIQ A/BACT REXONA ALOE D/P X220ML,"2779,0","3550,0","3115,1400000000003",8,"MAXI CARREFOUR, VITAL",LISTA,"10,790526268482324","336,1400000000003",False
181938,JABON LIQ A/BACT REXONA FRESH D/P X220ML,JABONES,"3269,0","3439,0",,"3269,0",,"2958,03",,"3550,0",,,"2779,0",,,"2878,09",,"2779,0",,220ML,JABON,JABON LIQ A/BACT REXONA FRESH D/P X220ML,"2779,0","3550,0","3115,1400000000003",8,"MAXI CARREFOUR, VITAL",LISTA,"10,790526268482324","336,1400000000003",False
181939,JABON LIQ A/BACT REXONA ORIG D/P X220ML,JABONES,"3269,0","3439,0",,"3269,0",,"2958,03",,"3550,0",,,"2779,0",,,"2878,09",,"2779,0",,220ML,JABON,JABON LIQ A/BACT REXONA ORIG D/P X220ML,"2779,0","3550,0","3115,1400000000003",8,"MAXI CARREFOUR, VITAL",LISTA,"10,790526268482324","336,1400000000003",False
181940,JABON LIQ A/BACT REXONA FRESH BOT X250ML,JABONES,"4729,0",,,,,,,,,,"4020,0",,,,,"4115,0",,250ML,JABON,JABON LIQ A/BACT REXONA FRESH BOT X250ML,"4020,0","4729,0","4288,0",3,MAXI CARREFOUR,LISTA,"6,25","268,0",False
181941,JABON LIQ A/BACT REXONA ALOE BOT X250ML,JABONES,"4689,0",,,"4726,0",,,,,,,"3986,0",,,,,"4095,0",,250ML,JABON,JABON LIQ A/BACT REXONA ALOE BOT X250ML,"3986,0","4726,0","4374,0",4,MAXI CARREFOUR,LISTA,"8,870598994055785","388,0",False
181942,JABON LIQ A/BACT REXONA ORIG BOT X250ML,JABON LIQUIDO,"4729,0",,,,,,,,,,,,,,,"4115,0",,250ML,JABON,JABON LIQ A/BACT REXONA ORIG BOT X250ML,"4115,0","4729,0","4422,0",2,VITAL,LISTA,"6,942559927634555","307,0",False
181943,JABON A/BACT REXONA ALOE X90G,JABONES,"1365,0","1369,0",,"1364,0",,,,"1450,0",,,"1160,0",,,"1192,44",,"1159,0","1019,0",90GR,JABON,JABON A/BACT REXONA ALOE X90G,"1019,0","1450,0","1259,805",8,YAGUAR,LISTA,"19,114466127694367","240,80500000000006",False
181944,JABON LIQ LUX JAZMIN BIDON X5LT,JABON LIQUIDO,,,,,,,,,,,,,,,,"7199,0",,5000ML,JABON,JABON LIQ LUX JAZMIN BIDON X5LT,"7199,0","7199,0","7199,0",1,VITAL,LISTA,"0,0","0,0",False
181945,JABON LIQ LUX ROSAS FRANCESAS BIDON X5LT,JABON LIQUIDO,,,,,,,,,,,,,,,,"7199,0",,5000ML,JABON,JABON LIQ LUX ROSAS FRANCESAS BIDON X5LT,"7199,0","7199,0","7199,0",1,VITAL,LISTA,"0,0","0,0",False
181946,JABON LIQ A/BACT REXONA BIDON X5LT,JABON LIQUIDO,,,,,,,,,,,,,,,,"6410,0",,5000ML,JABON,JABON LIQ A/BACT REXONA BIDON X5LT,"6410,0","6410,0","6410,0",1,VITAL,LISTA,"0,0","0,0",False
181949,JABON LIQ GIGANTE X900ML,ROPA LIQUIDA,,,,,,,,,,,,,,,,"3119,0",,900ML,JABON,JABON LIQ GIGANTE X900ML,"3119,0","3119,0","3119,0",1,VITAL,LISTA,"0,0","0,0",False
181950,JABON EN PAN ALA ECOLAVADO 2X200G,JABONES PARA LA ROPA,,,,"3036,99","3020,0",,,,,,,,,,"3035,0","2335,0","2199,0",200GR,JABON,JABON EN PAN ALA ECOLAVADO 2X200G,"2199,0","3036,99","2725,198",5,YAGUAR,LISTA,"19,308615374002176","526,1979999999999",False
181951,ACOND TRESEMME CAUT REPARADORA X250ML,SHAMPOO ACONDICIONAD,"5635,0","5639,0",,"5635,0","5790,0",,,"5950,0",,,"4790,0",,,,"5650,0","4769,0","4199,0",250ML,ACOND,ACOND TRESEMME CAUT REPARADORA X250ML,"4199,0","5950,0","5339,666666666667",9,YAGUAR,LISTA,"21,362132467694618","1140,666666666667",False
181952,ACOND TRESEMME KERAT ANTIFRIZZ X250ML,SHAMPOO ACONDICIONAD,"5635,0","5639,0",,"5635,0","5790,0",,,"5950,0",,,"4790,0",,,,"5650,0","4769,0","4199,0",250ML,ACOND,ACOND TRESEMME KERAT ANTIFRIZZ X250ML,"4199,0","5950,0","5339,666666666667",9,YAGUAR,LISTA,"21,362132467694618","1140,666666666667",False
